Titile,Review
JetBlue rebooked connecting flights,JetBlue rebooked us on connecting flights back to Boston when the our original flight out of Montego Bay was delayed and we would not have made our original scheduled connection. We cleared customs and immigration in New York and arrived back in Boston within 30 minutes of our
Great flight from Nashville,"This trip was not sold out, (we always sit on the aisles) and we each had an empty seat next to us. The flight arrived an hour before it was due. Everything worked out well, including our luggage pick-up"
Cancelled our flight and left us without a connector on vacation,Do not book your flight with Jet Blue with any connector with one of their partner airlines. We booked through JetBlue and Silver Airways to go to Bimini. Jet Blue cancelled out first flight to Ft. Lauderdale and never rebooked our connector. It was a mess. We missed two days of
JetBlue came through,"Due to heavy thunder and rain storms, all JetBlue flights between Ft. Meyers and Boston were delayed significantly. Our 7:30 PM flight was delayed to 11 PM, possibly longer since there were multiple delayed flights in the queue from the same gate. Long story short, a pleasant"
Stick with DELTA!,"Worst airline when it comes to the most important, being on time. Always delayed, 90% of my flights are delayed and I fly every two weeks on business. The times I’ve used delta de only delays were due to snow nothing else. This crappy airline will delay for reasons such as"
TRASH AIRLINE!!!,Our original flight was scheduled at 7:48pm and due to weather conditions it was delayed to 10pm then it went back to 8pm then back to 10pm. We waited and then it was delayed to 1am. Then came 1am where the flight was cancelled due to no pilots being available. First of all how
I had no idea JETBLUE SUCKS SO BAD !!,"They delayed our flight 7 times between 7pm and 11pm only to cancel it with no explanation. There were no JetBlue agents at the airport any more, there was no communication from JetBlue as to what to do and wait times on the phone were 30min +. If you had had advance notice"
Flight,"I flew on Jet Blue the weekend of April 5. My flight was great! It left on time, arrived early, and went very smoothly. The attendants were very accommodating and friendly. I love the tv on the back of the seats! This is my favorite airline!"
On time and nice flight,Recently flew from hpn airport to pbi airport for business on Jet Blue. The departure and arrival was on time and an comfortable flight. No issues and the baggage was at the carrousel by the time I got to it. When ever I have to travel to West Palm I try to take Jet Blue
"Comfortable, Clean & Plenty of Entertainment Options",Jetblue has very comfortable and spacious seating and they have T.V.'s with direct TV and Music Channels. All you need is a pair of earbuds or they cost $5 or $6 to buy from them on board. They also have free inflight wifi which was frickin awesome! I was able to send e-mails
On time and on a newer model jet.,Boarding area is kind of tight in Terminal 5 but the process went well. Flight attendants are friendly and efficient and get the plane boarded and out of the gate.
"On time, very good service on a newer plane.","Boarding is a little hectic on Jet Blue, plane was a newer model and the in flight entertainment kept me busy. Flight attendants were friendly and efficient."
Nothing to eat!,We left our hotel in Las Vegas at 4.15 am to catch a 6am flight to New York. Due to the early hour we didnt get anything to eat in Vegas thinking we would eat on the flight - wrong! There was no breakfast served on this flight and after looking at the menu available for
JetBlue Fan for life,"Flight got off the ground late due to the tardiness of a crew member, but after their arrival the crew swiftly boarded the flight and we were on our way. JetBlue crew are all professionals I’m in love with this airline. Spacious and comfortable seating even if I’m in row 24, "
